,coherent,incoherent,nonadapting
0,0.8301227967906154,0.8301228058362717,0.8301227967906154
100,0.8325848291852705,0.832585123728891,0.8325848291852705
200,0.8345058799523157,0.8344530793758069,0.8345058799523157
300,0.8362699858654838,0.8364034243263649,0.8362699858654838
400,0.8382165003010781,0.8389271435342582,0.8382165003010781
500,0.8406052968752346,0.842164511747263,0.8406052968752346
600,0.8436307514091226,0.8464952132151806,0.8436307514091226
700,0.847417601221486,0.8520733137222499,0.847417601221486
800,0.8520552503911732,0.8590209476038363,0.8520552503911732
900,0.857638257819265,0.8674437593069866,0.8576143207258304
1000,0.8642332709361592,0.8773959969397891,0.8641175830317646
1100,0.8717284909931008,0.8887522024267387,0.8715111867474178
1200,0.8800284621464909,0.9013868463644877,0.8797515979027625
1300,0.8890656015503778,0.9152073742617262,0.888809608858207
1400,0.8987996615014648,0.9301522804373428,0.8986697865601108
1500,0.9092170167496149,0.9461886153122294,0.9095784933643087
1600,0.9203298048451749,0.9633018196271955,0.9214841606914779
1700,0.9321723615117489,0.9812778716079168,0.9336039556053437
1800,0.9446123016706185,0.9997795472520719,0.9456972686021444
1900,0.9574120640668236,1.018630184083994,0.9580830153329509
2000,0.9704471275586645,1.0378134595314439,0.9716210806200528
2100,0.9836756608973818,1.0574591222657663,0.986775262485218
2200,0.997132915975144,1.0775257777837972,1.002460511270806
2300,1.0107966607111245,1.0974956745692934,1.018387117705993
2400,1.024452374890824,1.1170757395397009,1.0346200789216602
2500,1.037967885367225,1.1362805024224782,1.0515128286655184
2600,1.0513189541671508,1.1554090542703963,1.0689098931403949
2700,1.064583263347554,1.1747390044120996,1.0863668584195783
2800,1.07792492395212,1.193608149535429,1.1037499959867323
2900,1.091055755663372,1.2115947210642457,1.1211712920777444
3000,1.1036349575294244,1.2288160186248125,1.1386701227756226
3100,1.1155723751306654,1.2458740390956577,1.155860728824847
3200,1.1270163385169376,1.2627557115751114,1.1729348774525152
3300,1.1383427543590312,1.2787378872531743,1.1898507765699489
3400,1.1498330284461982,1.2936529180544247,1.2062861844605657
3500,1.1608266793006294,1.3078660333390928,1.2217136884045312
3600,1.1710399034154613,1.3220839181338304,1.23629174328001
3700,1.1806280561391589,1.3358082599577965,1.2500080339384496
3800,1.1900795794039323,1.34827577281632,1.26276503550919
3900,1.199196951193362,1.359498780562658,1.2745432547434379
4000,1.2076812370586676,1.3702472179750378,1.2853982227885186
4100,1.2155431551134728,1.3813217291135944,1.2954581506055702
4200,1.2230273466714399,1.3915712251779384,1.3047768293824462
4300,1.230339549843899,1.400506328143912,1.3131661081560466
4400,1.2371363810936071,1.4086006512084324,1.3206438137625387
4500,1.2432083470271516,1.4168679055714446,1.327365685555102
4600,1.248623934753388,1.4245925741196515,1.3334059947573034
4700,1.253724082169913,1.4312420987796826,1.3385475579036565
4800,1.2589035706366443,1.4370558199687937,1.343132081369254
4900,1.2636874681544987,1.442867526718639,1.3476104581129393
5000,1.2677082494450513,1.4484370928025123,1.351731670064802
5100,1.271038529554415,1.4530506905590348,1.355409706054076
5200,1.274178413395239,1.4567119786576441,1.3587563571473114
5300,1.2775296999809376,1.4601214657684163,1.3620791000845764
5400,1.2804206011536894,1.4639593504709107,1.3656493017962645
5500,1.2825346180315156,1.4671583304649658,1.3690304844732675
5600,1.2840611603194463,1.4691259029473491,1.3719195790850627
5700,1.2856694237955495,1.4702837680459675,1.3744186345812692
5800,1.287239138195953,1.4719988968432831,1.3770313627141555
5900,1.2883994430914552,1.474163354303041,1.3802282578775291
6000,1.289257647332184,1.4752330690540918,1.3832355785392074
6100,1.2898691885367364,1.4750316017536589,1.3856299771616383
6200,1.2902304449570012,1.4748001195579827,1.3876582590372313
6300,1.290365817054658,1.4756164678835422,1.3901665612172551
6400,1.2902914620761192,1.475801451300428,1.393004508206125
6500,1.2900248015089277,1.4749522929648857,1.3953372194285318
6600,1.289580712313826,1.4738699591642428,1.3970625774513787
6700,1.2889692817615461,1.4734777139343807,1.3987820416077157
6800,1.2882039273704566,1.4726851922416757,1.401251633872376
6900,1.2872998059744327,1.471212040833751,1.403561558963841
7000,1.2862703369169732,1.4695359126986833,1.4051271825253069
7100,1.2851271912997675,1.4683364864295076,1.4061868181502373
7200,1.2838790651914276,1.4669256905586225,1.4077425511783221
7300,1.2825381813430574,1.464974057324638,1.4095241919695272
7400,1.2811248190687587,1.462728221678419,1.4110515864656377
7500,1.2796506612067116,1.4609327932008536,1.4124408770940144
7600,1.2781178294070519,1.4594277623601175,1.413704209637978
7700,1.276521122614162,1.4573799773180556,1.4148047694450347
7800,1.2748787499308545,1.4546645330814205,1.4156381779192309
7900,1.2732188432021374,1.4519134730039236,1.4160355019659334
8000,1.2715511813257907,1.4502191621875762,1.415881566783789
8100,1.2698663718057026,1.4487258079431147,1.4153858970042696
8200,1.268147396849426,1.4463363993772052,1.414656470875085
8300,1.2664262089992735,1.4431701271161002,1.413681102481619
8400,1.264724051590685,1.4405647980102996,1.4123272334788126
8500,1.263046887478426,1.4392053297593934,1.4103413573783314
8600,1.2613875787771123,1.4373940617288727,1.407424936137329
8700,1.259735049812368,1.434729013123243,1.404010229987223
8800,1.2581139749308583,1.4320431433430827,1.4006539083054825
8900,1.25654098342857,1.4304387517045352,1.3973537612942664
9000,1.2550162535547582,1.4287078364152517,1.3935347538932155
9100,1.2535242472212897,1.4265259958278464,1.3884690127637742
9200,1.2520430899820179,1.424353228811532,1.383350164359136
9300,1.2506065646450442,1.4227551899537791,1.3791891842153132
9400,1.2492485231914525,1.4211151422408423,1.375695889459897
9500,1.2479736672239716,1.4192515369327898,1.371346464552767
9600,1.246757408459883,1.4173852181949769,1.3664596337787251
9700,1.2455458668741235,1.4159993638261448,1.3623452535995038
9800,1.2443367912707395,1.4147900638582618,1.3591188596696306
9900,1.243203754922682,1.4133138298307217,1.3560688061988646
10000,1.2421653937013275,1.411583885183553,1.3526635428358762
10100,1.2411967122448022,1.4100724774714968,1.349802345036793
10200,1.2402448105723998,1.4093726265531976,1.3476988493189999
10300,1.2393475693376343,1.40873883368548,1.3460521231917009
10400,1.2385203829584233,1.4075194831439863,1.3443431344793397
10500,1.2377587333592373,1.4058302704261791,1.3430024454070353
10600,1.237049318363659,1.404556308670036,1.3420413646742988
10700,1.2363851719443528,1.4043080759907456,1.3413624347311746
10800,1.2357831986162662,1.4038543662354652,1.3408228112125764
10900,1.2352458472944077,1.4029975701864807,1.3403015114337544
11000,1.2347574722190446,1.4022829186072463,1.3397102892460837
11100,1.2343216428489625,1.4019832759987092,1.3390329194001078
11200,1.23393217349751,1.4016060843739258,1.3382302470250977
11300,1.2335856363693702,1.4011380148773818,1.3372285795760175
11400,1.233293059691527,1.4008154487487847,1.3357741868571433
11500,1.2330471066794395,1.4006118841293083,1.334011564150517
11600,1.2328455812423813,1.4004375645300648,1.3322291242996633
11700,1.232687100631267,1.4003130216499,1.3305739092907591
11800,1.2325699111133936,1.4002335068285763,1.3290510735612877
11900,1.2324920164985753,1.4001996667379106,1.3275231402121872
12000,1.2324514031695508,1.4002127045964616,1.3257090596427104
12100,1.2324458529749132,1.4002692682133384,1.3231830615896973
12200,1.232472649773279,1.4003670132837693,1.3198702934871323
12300,1.2325295787638566,1.4004999055359255,1.3167345809560256
12400,1.232616276664321,1.4006637351074045,1.3141408668554295
12500,1.2327284565814374,1.4008631972160903,1.3116747569194505
12600,1.2328652079529236,1.4010916943367087,1.3084054533501825
12700,1.2330235946140145,1.401345767365492,1.304945475787692
12800,1.2332010862053475,1.4016185818334685,1.3017984038122057
12900,1.2333973190047978,1.401909092599492,1.298894814119625
13000,1.2336097733015214,1.4022107796101992,1.295706335210525
13100,1.2338349632516568,1.4025273187956124,1.2921790932162804
13200,1.2340701108785432,1.4028566904867634,1.2888293387858654
13300,1.234320785732006,1.4031989190666179,1.285789966721604
13400,1.2345831036307606,1.4035477877818738,1.2828636907844548
13500,1.234845809437038,1.4038960899795236,1.279532329966831
13600,1.2351142261293848,1.404249507223099,1.2758614380041642
13700,1.2353893499696256,1.4046039399350498,1.2727767926134643
13800,1.2356641438345268,1.4049580973791833,1.27064356657638
13900,1.2359407140011514,1.405313877571471,1.2691488966111417
14000,1.2362191278274755,1.4056677765852381,1.2673293376665562
14100,1.2364950679286701,1.4060184184290605,1.265304891193702
14200,1.2367703612434893,1.406367000289205,1.2641971560271261
14300,1.2370433563938428,1.4067120089116163,1.264294973929959
14400,1.2373139557029784,1.4070513566843592,1.2651482866888764
14500,1.2375817995502645,1.407389794152023,1.2656979001740638
14600,1.2378469157668832,1.4077200012526598,1.2663835817699067
14700,1.2381077031723857,1.4080396956613555,1.2679886643199623
14800,1.2383628101644366,1.4083524646987486,1.2705146846764488
14900,1.238611710874731,1.408655130732746,1.2733294359974507
15000,1.2388541479171746,1.408947261850908,1.2758286401664871
15100,1.2390918262086694,1.409223100236818,1.2788178566912496
15200,1.2393200281074155,1.4094869021822203,1.2826213765887584
15300,1.239540515821455,1.4097463873040692,1.286854765343562
15400,1.2397527077714607,1.4099885360661644,1.2905492318081397
15500,1.2399570795851784,1.410208620474735,1.293897226846236
15600,1.2401546117163893,1.4104217267530315,1.2973579266951696
15700,1.2403409505294256,1.4106201998831198,1.3008608300408089
15800,1.2405198271850797,1.4108005237787933,1.3039316289921028
15900,1.2406910032669287,1.410969767912033,1.3063056550266203
16000,1.2408530639329505,1.4111278596402164,1.308484980333363
16100,1.2410049204361033,1.4112758022805598,1.3106688435645435
16200,1.2411466207197195,1.411414205128198,1.3127038775736632
16300,1.2412776127363305,1.411541632706737,1.3140998859504323
16400,1.2413986489934095,1.411657370211263,1.3149833320036628
16500,1.2415098709883186,1.411760933481109,1.3156250757850187
16600,1.2416121353064333,1.4118520688626173,1.3160044728783846
16700,1.2417063394245411,1.4119323664952987,1.316185996611303
16800,1.2417931828833213,1.4120028399569204,1.3162947717938578
16900,1.2418724958598801,1.4120644474605522,1.3164323199211294
17000,1.2419430768465816,1.4121179508135218,1.316643709106577
17100,1.2420046586558906,1.4121633157921962,1.3169898583432493
17200,1.2420567906413182,1.4122003395216862,1.3175542256098922
17300,1.242099830601475,1.412229218492372,1.3183948435286257
17400,1.2421344481494883,1.4122500340857391,1.3194332632036556
17500,1.2421612296700781,1.412263379384388,1.320618300675682
17600,1.2421806522267351,1.4122694896539332,1.3219538430002473
17700,1.2421920047810644,1.4122699497748632,1.3234986578844221
17800,1.2421957892225588,1.4122645047128695,1.325366781781098
17900,1.2421925525352515,1.4122539491707113,1.3276650194552273
18000,1.2421828139802151,1.4122382327501208,1.3300869725021665
18100,1.2421677838836966,1.4122177057593999,1.332402132916802
18200,1.2421488607104043,1.4121938536433418,1.3346419304496846
18300,1.2421260009378108,1.4121653382737949,1.3370978529946178
18400,1.2420993970849434,1.4121344745346605,1.340192662859852
18500,1.2420689920953831,1.4120995659254756,1.3434828638706524
