,coherent,incoherent,nonadapting
0,0.7678461050393851,0.7678462848540653,0.7678461050393851
100,0.7685292255393749,0.7685128975615361,0.7685292255393749
200,0.7688001351559066,0.7687278547792529,0.7688001351559066
300,0.7690321284828796,0.7689188285286049,0.7690321284828796
400,0.7695750549678279,0.7695214477068776,0.7695750549678279
500,0.7706413114963097,0.7708414890364321,0.7706413114963097
600,0.7724030597034047,0.7730841672128113,0.7724030597034047
700,0.7749656590022633,0.7763836504710043,0.7749656590022633
800,0.7783996542788201,0.7808050535748631,0.7783996542788201
900,0.7827299948773146,0.7863668941639113,0.7827299948773146
1000,0.7879349446398878,0.7930510714395655,0.7879349446398878
1100,0.7939792946159561,0.8008059068861826,0.7939792946159561
1200,0.8008175560507733,0.8095618515784324,0.8008175560507733
1300,0.8083942470968412,0.8192374893077339,0.8083942470968412
1400,0.8166442343410857,0.82983382373051,0.8166442343410857
1500,0.8254258864591915,0.8413596381903597,0.8257675791368956
1600,0.8346523841921195,0.8534897417878116,0.835595472812738
1700,0.8443542278634616,0.8659646715088456,0.8455624212432762
1800,0.8545157261571682,0.8786065221542284,0.8555159041873373
1900,0.8650760087261767,0.891315601535531,0.8657101270974911
2000,0.875931254967915,0.9040669215340146,0.8767952671345522
2100,0.8869370639955411,0.9169066814460444,0.8889085852494152
2200,0.8979108176178554,0.9299487980270876,0.9012423060075708
2300,0.9086340454870391,0.9433714650777767,0.9135461941755842
2400,0.9190384049958787,0.9568990006256075,0.9258717798870605
2500,0.9294569101020006,0.9700364707162396,0.938542507375387
2600,0.9400232130814431,0.9828077326244652,0.9514831814223681
2700,0.950567790924659,0.995299127054419,0.9642167914708856
2800,0.9606331294458258,1.0074034815099353,0.9765772523328884
2900,0.9700195897798706,1.0190926224229935,0.9886729394467838
3000,0.9792177651219054,1.0304225546801016,1.0008422410162963
3100,0.9884121528330696,1.041374893538908,1.0129515108027505
3200,0.9974583472264069,1.0517635833500805,1.0244766542986843
3300,1.00589554797275,1.0615109938214544,1.035245749605995
3400,1.0134750344732495,1.0706523172688216,1.045453827722408
3500,1.0207771558118321,1.0793319981065697,1.0556371653373542
3600,1.0280763761756133,1.087782325454864,1.06576394727126
3700,1.035248841197844,1.0958708758389826,1.0751224934438244
3800,1.0417834949787645,1.103255629820976,1.0835398994318979
3900,1.047273004775031,1.1098955758450482,1.0913602471471249
4000,1.0524445802795062,1.116052598569032,1.099187711001406
4100,1.0577117445582445,1.1220855509949794,1.106516333931179
4200,1.0629650864389675,1.127639783676995,1.1129421615413528
4300,1.067583988686036,1.1324792529114023,1.1185396863381099
4400,1.0710686921279784,1.1366842508434143,1.123819421187728
4500,1.0743002782907234,1.1406361844425548,1.12902234059269
4600,1.07769487140109,1.1445819154396413,1.1334918433648418
4700,1.081084900823886,1.1479780999291975,1.1369875547830077
4800,1.0837367802178863,1.1505337702219995,1.139804002434483
4900,1.0855207414673311,1.1524010149278856,1.1427342061882608
5000,1.0872322291118688,1.1541711978491858,1.1457662041109997
5100,1.0890592242538542,1.1562776847663077,1.1482250773049263
5200,1.090711028981478,1.1578872050590583,1.1500408055149514
5300,1.0915814965176978,1.158701103550077,1.1516803887354317
5400,1.0920678516794458,1.1590323626967711,1.1536773092952113
5500,1.0925923791376635,1.1596143308685831,1.1554027724342473
5600,1.0931628388268648,1.1600460606340448,1.1565300632673823
5700,1.0934233836022733,1.15992145733542,1.1572085032416841
5800,1.0930380556331933,1.1593146026226486,1.1580281378227806
5900,1.0925128967098516,1.1587051623105993,1.1588385669452035
6000,1.0920863110210293,1.1582178972788857,1.1593728468222801
6100,1.0916879381291353,1.157369768044182,1.1596786318681536
6200,1.0909432312100031,1.1560304090495293,1.1597911825038438
6300,1.0896596013681177,1.1544244981399217,1.1597565500001359
6400,1.0883533243242345,1.1530914443867661,1.159605029376361
6500,1.0872686717841082,1.1519369005486708,1.1593550410098439
6600,1.0863046201442386,1.1503437997843466,1.159017144976212
6700,1.0850132137608555,1.148155964320904,1.1585952046160592
6800,1.083093714168946,1.1457156800421278,1.1580919367075797
6900,1.081194310332027,1.1438139831509841,1.1575084876892128
7000,1.0796709877337873,1.1422218416914565,1.1568432171880574
7100,1.078440210762243,1.1402088155874783,1.156096310281349
7200,1.076976231629356,1.1377199688840953,1.1552643145754704
7300,1.074747116680804,1.1352809834864521,1.1543504760441903
7400,1.0725194566997818,1.1333659366621534,1.1533651391056159
7500,1.0707532657588676,1.1313208888867434,1.1523056226891815
7600,1.0693791779664559,1.1289504069418765,1.1511620654240846
7700,1.067806907690086,1.1264525535532008,1.1499309649070295
7800,1.0655303183514513,1.1243267443835814,1.1486152800723883
7900,1.0633645111697478,1.1223691673074483,1.1472244539656216
8000,1.06163632255623,1.1202078507145399,1.1457744407042756
8100,1.0602021542494537,1.117810607889127,1.1443294950890361
8200,1.058466473988638,1.115459961610673,1.1429002440559788
8300,1.0563836059476002,1.1136272647523258,1.141325996502757
8400,1.0545290520468773,1.1119783284964606,1.1395190317403983
8500,1.0530291960027458,1.1100202107905075,1.1374738801961386
8600,1.0516667470075882,1.1076916988958916,1.1352678094226003
8700,1.0499709848864018,1.1053679700039902,1.133061385573794
8800,1.0481849583919325,1.1037588083295502,1.1310834411718447
8900,1.0466724001749437,1.1024553622428201,1.1291546344660048
9000,1.0454772439996216,1.1008578002698854,1.1269195852109348
9100,1.0443559854247848,1.0989623312261263,1.1243925069205183
9200,1.0428835510722463,1.097281317764541,1.1219461245887516
9300,1.041338233909793,1.0961411716659624,1.119808158990287
9400,1.0401190567996883,1.094948846071829,1.1176923346639625
9500,1.0392932525314107,1.0935551713708997,1.115567436487702
9600,1.0386043600589638,1.0921415361111404,1.11358797917102
9700,1.0375154164777036,1.0911370198635533,1.112001612888515
9800,1.036187755277445,1.090345612005775,1.1106242089009664
9900,1.035188511046188,1.0894105218335053,1.1092244597012102
10000,1.0346667076842184,1.088283155101453,1.1077696489788582
10100,1.0343698225877362,1.0872100413292853,1.106426714347208
10200,1.033670777578745,1.0866451232253718,1.1055166753581365
10300,1.0326792088532528,1.0863216346021185,1.1048032082950976
10400,1.0319889760055896,1.0857669164646648,1.1040734920173443
10500,1.031712758516832,1.084907028933356,1.1033693672036542
10600,1.0315762421621901,1.0840646236524036,1.1028266484778204
10700,1.0310557818370514,1.0838675161370355,1.1023553784050883
10800,1.0304969849268235,1.0840047666187334,1.1019273188741008
10900,1.03020166566438,1.083807434561418,1.1015512600988417
11000,1.030145974015932,1.0831629225248107,1.1012315712112086
11100,1.030040058341042,1.0825102414996404,1.1009372753190354
11200,1.0296906746588728,1.0826389328165928,1.1006547345167825
11300,1.02944212722071,1.0829773523869282,1.1003707168328027
11400,1.029452732026532,1.0829645290575736,1.1000719865899222
11500,1.029661956554581,1.0826403928547585,1.0997470005214685
11600,1.0297903783646318,1.082567893000281,1.0993823324485992
11700,1.0296973496916433,1.0829575043326845,1.098969902733164
11800,1.0297055158737043,1.0832254557297698,1.0985023901314532
11900,1.029802532517321,1.0832549338731752,1.097970319179312
12000,1.0299092216079528,1.0832539583781389,1.0973661875760146
12100,1.0300436020204258,1.0836089632032608,1.0966950595260647
12200,1.0302145188702432,1.0840373919273025,1.0959867029995467
12300,1.0304070000382222,1.0842863039608464,1.0952940715129145
12400,1.0306131755376684,1.0843658845639144,1.09463471336259
12500,1.0308396705461789,1.0845308751126446,1.0940164667982888
12600,1.0310847818405835,1.0850639994542322,1.0934591449212476
12700,1.0313390774886773,1.0855998003854697,1.0929789401442036
12800,1.0316001475071452,1.0858737204765687,1.0925476415990423
12900,1.031869813698983,1.085916234375242,1.0921430473948979
13000,1.0321457868829331,1.0860505796068436,1.0917565403009386
13100,1.0324261528307104,1.086673786968558,1.091392920713549
13200,1.0327125311374525,1.0873210090447452,1.0910466772404133
13300,1.0329997631748777,1.0876204269715317,1.0906909469211412
13400,1.0332835616543754,1.0876106082565657,1.0903174987977446
13500,1.0335677817035107,1.08773268173465,1.0899177015567767
13600,1.033857251242478,1.0884145041026791,1.0894900141315802
13700,1.0341434973728394,1.089032041557669,1.0890662644098852
13800,1.0344214206594795,1.0892627561748753,1.0887220216043545
13900,1.0346916152321437,1.0892269179165217,1.0884986302370858
14000,1.0349601378088105,1.0894761050568311,1.088421236844359
14100,1.0352250450228093,1.0901619935547582,1.088502421971521
14200,1.0354823902168828,1.0906514884356275,1.0887345166384021
14300,1.0357319727643202,1.0907452440913505,1.0891125187390596
14400,1.0359729769960904,1.090671720900039,1.0896328043918144
14500,1.036204628745406,1.0910191120400985,1.0902765912178476
14600,1.0364272758972117,1.0915483355572557,1.0910316902944268
14700,1.0366404060616172,1.0918468291378243,1.0918759481075089
14800,1.0368426291020403,1.091920172439933,1.0927695294813289
14900,1.0370343438397345,1.0920873901507233,1.09370805630001
15000,1.0372159755985098,1.0924550570977745,1.0947074563193506
15100,1.037388141974322,1.0927254180471453,1.095763539603141
15200,1.037551796498237,1.0928564218215664,1.0968519811642736
15300,1.037705597593967,1.0929661242615325,1.0979283908642263
15400,1.037849235656202,1.0932079199123947,1.0989141636627127
15500,1.0379844564111522,1.0934229124461357,1.0997520104186904
