,coherent,incoherent,nonadapting
0,0.7754076874024147,0.7754076832846706,0.7754076874024147
100,0.7761930030801221,0.7761954779577143,0.7761930030801221
200,0.7764889798417755,0.7765505248541741,0.7764889798417755
300,0.7766917781774262,0.7769761974888998,0.7766917781774262
400,0.7771458695124221,0.777913200112013,0.7771458695124221
500,0.7781048079740086,0.779677222796854,0.7781048079740086
600,0.7797452679772965,0.7824866229018963,0.7797452679772965
700,0.7821828273426287,0.7864651521047549,0.7821828273426287
800,0.785481369342665,0.7916824781008209,0.785481369342665
900,0.7896714470410491,0.7981501816076698,0.7896714470410491
1000,0.7947539919614621,0.8058229724466363,0.7947560637365461
1100,0.8006919724643451,0.8146565896317778,0.8007064830695664
1200,0.8074549740822843,0.8245976745972614,0.8074801491952862
1300,0.8149974950977527,0.8355236695131326,0.8150208164336903
1400,0.8232542281965121,0.8472991609251502,0.8232576489132011
1500,0.8321407536100102,0.8598027614059217,0.8322053036570969
1600,0.8415543659775402,0.8729268014575786,0.841905869091778
1700,0.8513555386494418,0.8865769229985805,0.8518749409245661
1800,0.8614267775016703,0.900697422197847,0.8620186963078543
1900,0.8718356042740035,0.9151528975675651,0.87270252662409
2000,0.8825959049537526,0.9297155057186397,0.8844616036138276
2100,0.8936500374830639,0.9442352385915812,0.8968183543762579
2200,0.9048730692516599,0.958638736286001,0.9093834899684663
2300,0.9160770806916455,0.9729248318933144,0.9220256913979937
2400,0.927015301959552,0.9871603013387779,0.9348363576043526
2500,0.9375771154975171,1.0013841065522582,0.9481122202666254
2600,0.9480790084485794,1.0152563109103578,0.9618123036242138
2700,0.958651985111771,1.0285216552590213,0.9753628485963306
2800,0.9691666707601961,1.0411933640736417,0.9885285091405469
2900,0.9792468391992715,1.0535392868598021,1.0014130440848392
3000,0.9886914668443681,1.065801123329548,1.0144157507148215
3100,0.9978883371572638,1.0775081941287148,1.0274227823598214
3200,1.006973248270888,1.0883629537975363,1.0398715320073537
3300,1.0158425291946895,1.09843334825885,1.0515871135836272
3400,1.024162701260365,1.1081377313686378,1.0627730669272009
3500,1.0317469136984956,1.1179006095252884,1.0739180625766958
3600,1.039006433505112,1.127053829973285,1.0847472471352302
3700,1.0461488889472508,1.135091099303445,1.0946771489738003
3800,1.0531050929090484,1.1421047503975446,1.103593252462385
3900,1.059537171993808,1.1487688225400277,1.1118350785222948
4000,1.0650181726533285,1.1557967065482806,1.1200925248795555
4100,1.0700033303391596,1.1622120843396975,1.1280447637856008
4200,1.0749932829445954,1.167592337784379,1.1349010692962065
4300,1.0800424113280376,1.1722254240413692,1.1405376265219722
4400,1.0847685140458139,1.1768896344875974,1.1454946048346268
4500,1.0884202650313883,1.1812105475230785,1.1507507947379523
4600,1.091262005401151,1.1847907614389246,1.155646960302692
4700,1.0941593646297993,1.1877127926484912,1.159390684191902
4800,1.0973266022317265,1.1904336804285667,1.1622645956068907
4900,1.1003476865796256,1.1930246523225971,1.1654007286128858
5000,1.1022820252985628,1.1950520472465949,1.1684844948129534
5100,1.1035387459471666,1.1964070121488448,1.171064744155027
5200,1.1048857156114869,1.197312306713974,1.1732265698556426
5300,1.1063856202891196,1.1982886835525877,1.1753700435012138
5400,1.1075491004733033,1.1992734707076378,1.1774725560032098
5500,1.1079026070657678,1.1996509128981887,1.1792347384641082
5600,1.1081028670518764,1.1992600969115323,1.180614137207403
5700,1.1083259518556945,1.1984395064222877,1.181792143158518
5800,1.1084321318600983,1.1979787169144147,1.183004498598607
5900,1.1080746781318018,1.1976794136791349,1.1839983013049362
6000,1.1074626819875595,1.1967990271533875,1.184763495649873
6100,1.1068170708317715,1.1952755711705334,1.1853385015633389
6200,1.1061406465986723,1.1936458547034432,1.1857455987323093
6300,1.1052470319991294,1.19243364825329,1.186010846709218
6400,1.103965355747776,1.1909653591564509,1.186158439146744
6500,1.1025749278125194,1.1890235594929204,1.1862106543505018
6600,1.1012701954301776,1.1868096540803994,1.1861804528988102
6700,1.1000538284230479,1.1848645791130128,1.1860702458104073
6800,1.0987357678429843,1.1830235482465532,1.1858844868815173
6900,1.0969810430919729,1.1808519768102557,1.1856244739952235
7000,1.0949877592414061,1.1782963880791746,1.1852894701324506
7100,1.0931554512675632,1.175664633765807,1.184876354763947
7200,1.0915827567436716,1.173513703273792,1.1843842888154403
7300,1.090070856478334,1.1715244344562283,1.183812486684663
7400,1.0881463204934794,1.1691259823575526,1.1831614675376843
7500,1.0858958960059018,1.1662409640167888,1.1824313126581838
7600,1.0838440850987452,1.1632920703257232,1.1816191660481556
7700,1.0821478091530816,1.1611003654714631,1.1807182480864502
7800,1.0806146679226825,1.1592995563940165,1.1797132074621461
7900,1.0787145285292048,1.1570123319983414,1.1785902131803856
8000,1.0764521231554085,1.1540943715088845,1.1773472863849554
8100,1.0744072887614828,1.1511365995898524,1.1759763732678918
8200,1.0727637244798713,1.1491841626778474,1.174462925658187
8300,1.071342876665188,1.1474721922240734,1.1727846287290904
8400,1.0696090417697406,1.1452954115707517,1.1709256631650624
8500,1.0675080852622836,1.1427271032823652,1.1689270407545709
8600,1.0656317367693593,1.1405231615122176,1.166814412554986
8700,1.0641701639568653,1.1389066686204523,1.1645842272968798
8800,1.062956397138529,1.1371552319067397,1.162203518981043
8900,1.0614712763332397,1.1351534810924082,1.1596092392956079
9000,1.0596604463460577,1.1331858795825676,1.1568047521918752
9100,1.058078364499507,1.1316953231270137,1.1539215603663462
9200,1.0568913451490498,1.1303006541304605,1.1510420888881085
9300,1.0559357202540476,1.1287516689096346,1.1481821791917572
9400,1.0547306279909663,1.1270889405114852,1.1452901272131475
9500,1.0533047450848751,1.1256294759590235,1.142266573115773
9600,1.0521047337508977,1.124652364984579,1.1392820939887913
9700,1.0512247444742053,1.1237135612094273,1.1366327603914144
9800,1.0504939316905917,1.1225272571645462,1.134407854390082
9900,1.049529678285346,1.1211408859953782,1.132477446197761
10000,1.048485772490125,1.1199362809987172,1.1304914027251398
10100,1.0476656019524824,1.1194560325595915,1.1284057612945662
10200,1.0471255973262164,1.1191942356278548,1.12664354234587
10300,1.0467076906143626,1.118504099223535,1.125282451265339
10400,1.046063421462473,1.11731929935536,1.1241330619394503
10500,1.045255054653437,1.1161581451189895,1.1228787366158606
10600,1.0446681029720017,1.1159379008764716,1.1217578947514284
10700,1.0444363608081597,1.1159953103007796,1.1209207798999392
