,coherent,incoherent,nonadapting
0,0.778150655160664,0.7781509153501263,0.778150655160664
100,0.7789817999819741,0.7789805023034775,0.7789817999819741
200,0.7793563730982463,0.7794113441952264,0.7793563730982463
300,0.7796567117743923,0.77996761773182,0.7796567117743923
400,0.7802213799492442,0.7810872875617748,0.7802213799492442
500,0.7812986047484994,0.783095704703102,0.7812986047484994
600,0.7830634927283383,0.7861799923885509,0.7830634927283383
700,0.7856371483172444,0.7904753316883569,0.7856371483172444
800,0.7890743002824421,0.7960683140064783,0.7890743002824421
900,0.7934049278347534,0.8029404490109209,0.7934049278347534
1000,0.7986493120548509,0.8110508644482546,0.7986493120548509
1100,0.8047683938374873,0.8203474562077913,0.8047683938374873
1200,0.8116903281594849,0.8307760421348737,0.8116903281594849
1300,0.8193526940422523,0.8422037788814797,0.8193526940422523
1400,0.8277026101027299,0.8544743988415968,0.8277026101027299
1500,0.8366994890403029,0.8674601202440455,0.8366944304959613
1600,0.8464328515374989,0.8810606161707664,0.8462011246195444
1700,0.8567078475375401,0.8952018129267036,0.8562654558682927
1800,0.8672500383857709,0.9098406779451782,0.8669628616854076
1900,0.8778784093045249,0.9247602690863671,0.8782880175805653
2000,0.8885015952145391,0.9397313238594996,0.8901590740333086
2100,0.8991139130883831,0.9546278426435129,0.9024392711911967
2200,0.9097913879216459,0.9694208305283849,0.9151159851498676
2300,0.9206878108979686,0.9841722014061624,0.9281941398549146
2400,0.9319695286056006,0.998988798784886,0.9416084679622333
2500,0.9431707140782568,1.013592481192057,0.9552327344235572
2600,0.9540333982883347,1.0276221219665895,0.9688847075822526
2700,0.9645917298434945,1.0410064014035143,0.9823456353655439
2800,0.9749814854031736,1.053954448315421,0.9956952213938475
2900,0.9850732638387858,1.0668809619236326,1.0090842785268377
3000,0.9948024791870689,1.0795232848866294,1.0224850931154335
3100,1.0041798239374606,1.0912931682202962,1.0357003914456184
3200,1.0132513331830753,1.1020679455184927,1.0483729888410602
3300,1.0219522070006326,1.1121898585606023,1.0601745072357887
3400,1.0302070650197268,1.1223981365116544,1.0715026525272853
3500,1.0379942026502504,1.132504917641424,1.0826378184856118
3600,1.0453437371614869,1.1415511797411106,1.0934758618042202
3700,1.0523359467193791,1.149310012430949,1.1035479754830528
3800,1.0590942789157476,1.1563227619400074,1.1124720738829443
3900,1.0654823054830997,1.163733669084678,1.120833597117911
4000,1.0712749648921698,1.1710181467524658,1.1289217472888602
4100,1.0764376117753112,1.1771639370057196,1.1366175862433037
4200,1.0811248126910642,1.1821437476474668,1.1434081619869434
4300,1.085675078502809,1.1868113254248933,1.1492462581967628
