,coherent,incoherent,nonadapting
0,0.8860720763772033,0.8860720545169085,0.886071835048656
100,0.889590627479465,0.8895921713242829,0.889575961005931
200,0.892577495639539,0.8927099681488591,0.8924143021012654
300,0.8956253823520168,0.8962635784674355,0.8950498168216477
400,0.8992560293220597,0.9009964935933075,0.8979240378549553
500,0.9038569857905057,0.9074612057775565,0.9013936248097622
600,0.9097375538646345,0.9160880017746146,0.9057221363578323
700,0.9171364721732057,0.9272203235249024,0.911097174032449
800,0.9262572444409674,0.9410698002303535,0.9176654398332169
900,0.937080183436167,0.9575534613498251,0.9255246983672245
1000,0.9495565435457697,0.9765977454875703,0.9346963347308944
1100,0.9636608363708711,0.998156286139394,0.9451693340213323
1200,0.9793882717182946,1.022204427903317,0.9569159818390156
1300,0.9967511883427126,1.0487232903535606,0.9698920281127773
1400,1.015761447125545,1.0774536130628833,0.9840841066833127
1500,1.0361429227866186,1.1079382133955695,0.999519447304992
1600,1.0575583457980926,1.1398342546610398,1.0158199022527319
1700,1.0797960544651377,1.1729118188649468,1.0328135121967656
1800,1.1027574412125993,1.2070341522979,1.0506062686680022
1900,1.126442932011299,1.2421362151835271,1.0695723792642102
2000,1.1509264338135041,1.2779206017309792,1.09028092823542
2100,1.175973512736667,1.3137734701063801,1.112681753212671
2200,1.2011129233668845,1.3493593953396694,1.136394369635817
2300,1.2261066470310122,1.3846361866165944,1.1612312290956852
2400,1.250937019178919,1.4198141218922085,1.187174730153918
2500,1.2757787213633418,1.4550506577304443,1.2143523887328043
2600,1.3006305229553903,1.4894396940663606,1.242920604790402
2700,1.3250117861472748,1.5223608017868981,1.2723860317313056
2800,1.3486606423722565,1.553871651262794,1.3023524260234665
2900,1.3715794283611416,1.584639483093962,1.3326749849549722
3000,1.3940096970390032,1.6153469215090797,1.3633916275710616
3100,1.416229021481034,1.6448219472863541,1.3944347577411529
3200,1.4377376950255663,1.6724831048914968,1.4250299457937474
3300,1.4580775166956326,1.698644336696533,1.4546613976843856
3400,1.4772099573109256,1.7242182251637956,1.4832546095148906
3500,1.4954860046412497,1.748721541865106,1.51086048887736
3600,1.5135547564195093,1.771555149838017,1.5369249926524915
3700,1.5310811681278,1.7928365838332687,1.561114266935205
3800,1.5474040008210046,1.813278808613703,1.5833841950839807
3900,1.5624489643851651,1.8330068673728688,1.6039568411073166
4000,1.5766349624350824,1.8511728298678463,1.6232849374821812
4100,1.5905365237155533,1.8675718321654053,1.6410406367897639
4200,1.6036090853338745,1.8827302525304233,1.6565381088772393
4300,1.6155243205579133,1.8976825116013687,1.669678434374715
4400,1.626377753039384,1.9118310562242233,1.6809377259120082
4500,1.6366504195696756,1.924292615818741,1.691347694459977
4600,1.6466230568222695,1.935194231061486,1.7008477857157425
4700,1.655714795125365,1.9456071872282308,1.7088360149724766
4800,1.6636553054118373,1.9559395527554582,1.7158501970993587
4900,1.6706086951868966,1.9649330803965979,1.7223051131266367
5000,1.677163607899139,1.9722933387123873,1.728485321041573
5100,1.6838237566962422,1.9787886706067979,1.7346860620827975
5200,1.689763264285842,1.9856889268894322,1.7407319458583657
