,coherent,incoherent,nonadapting
0,0.8197155682565676,0.8197155346126903,0.8197155682565676
100,0.8220072181507028,0.8219953302212326,0.8220072181507028
200,0.8238259424034132,0.8237899250423556,0.8238259424034132
300,0.8255672454082157,0.8255575760954885,0.8255672454082157
400,0.8275421909403243,0.8277214204009632,0.8275421909403243
500,0.8299954067782095,0.830627841103555,0.8299954067782095
600,0.8330909415723837,0.8344952468263164,0.8330909415723837
700,0.8369608294689969,0.8394203011263716,0.8369608294689969
800,0.8417228357214791,0.8455066579346618,0.8417228357214791
900,0.8473890808645239,0.8528665036466934,0.8473890808645239
1000,0.8539197886148119,0.8616549641740525,0.8539197886148119
1100,0.8612996304128463,0.8717608929363563,0.8612996304128463
1200,0.8695371727367762,0.8829218197403553,0.8695371727367762
1300,0.8786764770296063,0.8949779301671438,0.8786724348159856
1400,0.888721844149124,0.9078686369553124,0.8886858267369987
1500,0.8994243039886307,0.921627022024012,0.8993399339123053
1600,0.9105862635606993,0.936373244549463,0.9104613418407792
1700,0.9220971881276172,0.9521742289214887,0.9219700745492121
1800,0.9339289561905266,0.9685351668854476,0.9338751594192919
1900,0.9461306925031189,0.9851478455897034,0.9462696783174116
2000,0.9588232366617534,1.0019716620761467,0.9593253412238953
2100,0.9720795722373139,1.0191848715883935,0.9731782876767312
2200,0.9854461201633634,1.0366569407753028,0.9874446551012116
2300,0.9986686454137008,1.0540729572805678,1.0018918390521097
2400,1.011788600743685,1.0713236725956803,1.01655158630287
2500,1.0250342183919383,1.088450090765279,1.0316292585777176
2600,1.0382030349328741,1.10563515320585,1.0469267048617774
2700,1.0511304059721782,1.1226216559446955,1.0622398329790401
2800,1.0637953578600823,1.13898023683237,1.0775227882678315
2900,1.0762889233421757,1.154600765278787,1.0928542592815145
3000,1.0886635078634594,1.1696798318278456,1.1082782697604434
3100,1.1006242571414555,1.1847041841102304,1.123466927729118
3200,1.112001667885646,1.1997063226759237,1.1381958784736805
3300,1.1228136821941668,1.2139214115034334,1.1524174637038604
3400,1.1332583283174027,1.2271769693878538,1.1662506885859407
3500,1.1436744841295579,1.2398622177761118,1.179946414639572
3600,1.1538503314404944,1.2524553912878889,1.193226660672252
3700,1.1633328442482884,1.2643750427618086,1.2055410713954746
3800,1.172066792547553,1.275395739338799,1.2168144435323398
3900,1.1803728733879117,1.2857235892379606,1.227437350796071
4000,1.188662241296306,1.2958721808311853,1.2377915370833001
4100,1.1964829673456348,1.3055909634450682,1.247308179913131
4200,1.2035796671711763,1.3143715229409867,1.2557615679653902
4300,1.2100436874836225,1.3221851387086274,1.263348340563414
4400,1.2162912524196576,1.3294795458397015,1.2706658784342195
4500,1.2225467425233973,1.3369384537174476,1.2777479280298858
4600,1.2282014674859294,1.343935467521545,1.2836954416100563
4700,1.2329587897329533,1.3498833542665087,1.288317835098597
4800,1.2370144839050337,1.3549668553432659,1.292261467576107
4900,1.2410493568235887,1.360068030083717,1.2968160038374745
5000,1.2453872916002673,1.3651567762655108,1.301376765189232
5100,1.249116807826014,1.3693829739375785,1.3050806644006447
5200,1.251964186694513,1.3726703180164797,1.3080772185607255
5300,1.254318099691406,1.3756810673002338,1.31129917743605
5400,1.2569852945270665,1.3790896764947411,1.3146641754141537
5500,1.259451964230847,1.3819333654518016,1.3175249671713698
5600,1.261229602983015,1.3837330116347888,1.3199000776798377
5700,1.2624121305991567,1.384874370994541,1.322318692162674
5800,1.2636090202561736,1.3864906901253857,1.3249774195609758
5900,1.2649499649409242,1.3882543518025554,1.327282239680731
6000,1.265839006512009,1.38910993811271,1.3290510921050154
6100,1.2661430015308863,1.3890489239779793,1.3305668208374615
6200,1.2661436643904262,1.3890695503544797,1.3325324548356157
6300,1.2664364325391098,1.3897486189996937,1.3348183998088414
6400,1.2667504406746046,1.3898348355249173,1.3364439781360689
6500,1.2665016510625906,1.3890023007996395,1.3371733852377903
6600,1.2656276029517057,1.3879100465062186,1.337605915496813
6700,1.2645910451106717,1.3875753511423696,1.339010879570199
6800,1.2641568305775746,1.3870055251963098,1.340683778731918
6900,1.2637299754888827,1.3856743740192448,1.3416264274928287
7000,1.2626982039632142,1.3839474011741688,1.342023984424945
7100,1.2611315043844564,1.3828111375407637,1.3428699352593938
7200,1.2597455132831652,1.3817424671211462,1.3438080202798457
7300,1.2589224372969796,1.3800839411098322,1.3443416132286254
7400,1.2578055712609013,1.3779414578019678,1.344593029640261
7500,1.2561337580252523,1.3761180374196276,1.3450167395698251
7600,1.2542375734193518,1.3748423620904833,1.345339622385509
7700,1.2528912452868837,1.3731455771861003,1.3455145753606572
7800,1.251712822240873,1.370772009200336,1.3455247397166055
7900,1.2501260707403519,1.3682828095058643,1.3452720388588189
8000,1.248128914000315,1.3667008667200413,1.344751026248343
8100,1.24624505712932,1.365220516069783,1.3438941182036033
8200,1.2449134053588353,1.3630763127662247,1.3426429363821493
8300,1.243462692344448,1.3604438840104194,1.3410330782001523
8400,1.2416948793817655,1.3583814047919847,1.3391944670153615
8500,1.2398154496393536,1.356963117276396,1.3372095623950984
8600,1.2383327793528303,1.355152943705609,1.334903311691824
8700,1.2370258622746828,1.3528208221766427,1.3322241792286948
8800,1.235490653017794,1.3506255733958221,1.329272388960757
8900,1.233696111675528,1.3491948684472634,1.3262437100507363
9000,1.2319676787106049,1.347629203342546,1.3230300030189786
9100,1.23076678201347,1.3456208676621568,1.3195533115815885
9200,1.2296442367026286,1.3435204261524443,1.3158905369711353
9300,1.2282414028949122,1.3420916374782896,1.3122614965140158
9400,1.226605552457696,1.3408253075741061,1.3088473956074127
9500,1.2251780137488422,1.3392140702178692,1.3054797012479236
9600,1.2242489586208274,1.3373366368446593,1.3020867391153756
9700,1.2232470826911288,1.3358180272606384,1.2987825764091119
9800,1.222015411601519,1.3349400944738603,1.295868780264192
9900,1.220752805814446,1.333884466951395,1.2935623704937578
10000,1.2198894759111567,1.332343349376815,1.2914159280993993
10100,1.2191742502901919,1.3306517743386193,1.2891592282719342
10200,1.218286656526887,1.3297175176148894,1.2869088365116028
10300,1.217205358347509,1.3293084809507951,1.2851704824087549
10400,1.2161943718344357,1.3284626702055924,1.2840612522753372
10500,1.2156191537546375,1.3270585769935448,1.2830956932685165
10600,1.2150924753416616,1.3258090138359642,1.282322340637617
10700,1.2144656950269497,1.3254671048238083,1.2817196533023716
10800,1.213828501314006,1.3250219249240545,1.2812048285857416
10900,1.213372076442962,1.3243040655842908,1.2807250500770675
11000,1.212961283113098,1.323696863999132,1.2802248255411166
11100,1.2125600858233645,1.323352850720159,1.279661692445498
11200,1.2122086953892675,1.3229711587838142,1.278865725032109
11300,1.2119218023432672,1.3225609760732897,1.2778824422824253
11400,1.2116718626888434,1.322276191794256,1.2768327561866932
11500,1.2114661744422293,1.3220747624875082,1.2757967189729909
11600,1.2113041208824877,1.321887177586968,1.2748134574578955
11700,1.2111827807648914,1.321723711422682,1.2738810902373296
11800,1.2111010177230777,1.3216372932770613,1.2729566469181572
11900,1.2110560343303196,1.3216017380361946,1.2719559890924108
12000,1.2110448879289568,1.3215902973752858,1.270753712762132
12100,1.2110654357995585,1.3216091887120214,1.2691829913972106
12200,1.211116380696971,1.3216770494759584,1.267110272133594
12300,1.2111972047061244,1.3217758973845781,1.2649723716981518
12400,1.2113075278246999,1.321896379733433,1.2631907093291248
12500,1.2114440842940708,1.3220510237823095,1.2617146141319124
12600,1.2115959847879547,1.32224416056771,1.2600142494535707
12700,1.21176595700875,1.3224524115453107,1.2576103631627682
12800,1.2119601183459368,1.3226763797901961,1.2552769753834185
12900,1.212170841484897,1.3229327305562666,1.253436161420863
13000,1.2123998799745785,1.3232064867647615,1.2519446695733876
13100,1.2126405975299481,1.323494561392045,1.250094596201449
13200,1.2128871950918763,1.3238008750409769,1.247817673434282
13300,1.2131439356930416,1.324118399755252,1.2457297106413308
13400,1.2134082713154686,1.324440714892273,1.2437364005677323
13500,1.2136762851314815,1.3247745495980185,1.2417458805757011
13600,1.2139508209924597,1.3251134677446283,1.2398186021535629
