,coherent,incoherent,nonadapting
0,0.8326470707211429,0.8326470688412713,0.8326470707211429
100,0.8351622967289667,0.8351611799713734,0.8351622967289667
200,0.8371581236539921,0.8372117520199959,0.8371581236539921
300,0.8390272474402727,0.839344410335172,0.8390272474402727
400,0.841102749096672,0.8420278740975339,0.841102749096672
500,0.843628187994093,0.8455889535330675,0.843628187994093
600,0.8467960897112938,0.8503023280801153,0.8467960897112938
700,0.8507602285248821,0.8564271533951844,0.8507602285248821
800,0.8555825016397169,0.8640408421550663,0.8555825016397169
900,0.8612882078516991,0.8730469840770276,0.8612882078516991
1000,0.8678952312954479,0.8834030143935978,0.8678952312954479
1100,0.8754137949354112,0.8951214861369049,0.8754137949354112
1200,0.8838681170330422,0.9082666362075076,0.883864813948227
1300,0.8933447674436076,0.9229084312043327,0.8933062710956299
1400,0.9036138507569226,0.9387956524248634,0.9035115896003725
1500,0.9144588451127078,0.9556177463569734,0.9142878865646241
1600,0.9257442538814947,0.9731956884568974,0.9255365871098663
1700,0.9374121732970625,0.9914696323465187,0.937250129134331
1800,0.9494783932396357,1.0104869019376033,0.9495082349055938
1900,0.9620281625785974,1.0304041319033392,0.9624737592853256
2000,0.9752113494040779,1.05077796486294,0.9763879675969422
2100,0.9888547589829109,1.0709691865647963,0.9913085427089329
2200,1.0025335787569758,1.0907890355962113,1.0068052673309171
2300,1.0161484149601516,1.110469865883758,1.0227405736303739
2400,1.029769848550203,1.1306267277576585,1.0391683364512043
2500,1.043457846615952,1.1511473651736406,1.0561771577530366
2600,1.0570003465166267,1.1710689496010018,1.0735193321563183
2700,1.070308541036278,1.1901956629464674,1.0910591629342785
2800,1.0833948243186098,1.2089240609561063,1.1087503064206898
2900,1.0963399648586902,1.2276197042584818,1.1265519811376887
3000,1.1090322598883433,1.2456630858097697,1.1443006421284247
3100,1.121303723691216,1.2628675975320882,1.1619621999692484
3200,1.1330937873363842,1.2794063246426532,1.1794601164594936
3300,1.144445871498693,1.2956584504363382,1.196660399565995
3400,1.1555028615990017,1.3113108885605402,1.2133689223934476
3500,1.1663942700886276,1.3259697387622529,1.2293693213561188
3600,1.1768296638665048,1.3396375002235554,1.2446841622161477
3700,1.186578911871054,1.352697893044831,1.2589926411222259
3800,1.1956621625037707,1.365668177943587,1.272123555340736
3900,1.2043408573963688,1.377969953901656,1.2841781706296456
4000,1.21301554695078,1.3891096486333692,1.295519538417014
4100,1.2213650899345934,1.3992263353757741,1.3064087106529965
4200,1.2288931564204724,1.4090611982012422,1.3162441323448573
4300,1.2355386478266257,1.4189040851479073,1.3247180175656683
4400,1.2416707148055712,1.4277549239236043,1.3320556382659203
4500,1.2479945197277242,1.4352968474269874,1.3389723242995586
4600,1.2541589360424046,1.4420732646533683,1.345408661351249
4700,1.259528016843843,1.4492555794097597,1.3509553537623298
4800,1.2640812210071322,1.4562046313688508,1.3556849366923978
4900,1.268335430016809,1.4617779552187633,1.3599351837180507
5000,1.2727282570821454,1.4660518371954616,1.3642877611790085
5100,1.276631252711766,1.4703071363742084,1.3687180821837752
5200,1.2798545973945918,1.4752871355982966,1.372505571896935
5300,1.2825799869393297,1.4793163602319876,1.3755000515550209
5400,1.2852972718777538,1.4819479547002266,1.3781999261174829
5500,1.2878785338602834,1.4840723946623922,1.381645878462163
5600,1.289916350701853,1.4869721134274934,1.3853863119836318
5700,1.2913626965724596,1.489321330509833,1.3885148514802517
5800,1.2925064832475013,1.4906312117025469,1.391076698978523
5900,1.2938032148369336,1.4914563159004617,1.3939071304744501
6000,1.2948880678150978,1.4926460930975731,1.3970943058078085
6100,1.2954795870510956,1.493407027923621,1.3999178543048842
6200,1.2956452927520588,1.493578963226824,1.4023198329771729
6300,1.2957704730303083,1.4935006534293305,1.4047553910555513
6400,1.296020517411881,1.4934101739854297,1.4075679503585223
6500,1.2959619709226464,1.4929697436317526,1.4101507480605193
6600,1.2954109944098475,1.4921441149010088,1.4122370681126777
6700,1.2944888771898926,1.4911558047164961,1.414029848622047
6800,1.2936225210226198,1.4902055338237032,1.4161920145741667
6900,1.2932547116858348,1.4890217940111312,1.41890851542034
7000,1.292718809101217,1.4874837898452236,1.4211169903215426
7100,1.2914542901987311,1.4857061520946988,1.4223883506983779
7200,1.2895297724560628,1.4840437234670085,1.423165577195969
7300,1.2876455297987561,1.4826897849633434,1.4247250109734908
7400,1.2866776311695076,1.481008575109891,1.426674818243052
7500,1.2856157339753476,1.4786856320883952,1.4283035232104826
7600,1.284035458037201,1.4759332907735507,1.429727154880101
7700,1.2821936392657831,1.4734933792812663,1.4309200267436277
7800,1.2807100957103956,1.4718961226389426,1.431800599405333
7900,1.2792196114056262,1.4700089617647283,1.4322895912738267
