,coherent,incoherent,nonadapting
0,0.8064204014429383,0.8064238739339448,0.8064183832161131
100,0.8069976779622521,0.8067939708215416,0.8070397301883903
200,0.8071882405801977,0.806458451028379,0.8072670279393506
300,0.8075145311496894,0.8071707379448931,0.8076141530669755
400,0.808509480708301,0.8095675769367285,0.8085180657363645
500,0.8105437135205892,0.8132684745325179,0.8103105990875397
600,0.813870122431278,0.8190133118388159,0.8132334803984601
700,0.818658932432258,0.8271662067631637,0.8174558150482122
800,0.8250142513660577,0.8378446172843749,0.8230762036800381
900,0.8329359104528993,0.851099889178,0.83013303283585
1000,0.842397651843024,0.8668706386227212,0.838631965562961
1100,0.8533640550210924,0.8849603052051802,0.8485471105426489
1200,0.8657396598134709,0.9051702514181951,0.8598438775747198
1300,0.8793760817230069,0.9273101010181988,0.8724335000768279
1400,0.8941309276439681,0.9512047165354699,0.886127349726177
1500,0.9098701596198765,0.9767555012519875,0.9007936655806176
1600,0.9264683210535605,1.0035465616930856,0.9163630857896784
1700,0.9438766975079246,1.0311506095379805,0.93282748752557
1800,0.9618843562068576,1.059246574662369,0.9502386592713031
1900,0.9802286226819553,1.0876091609157066,0.968706805415897
2000,0.9987147129038418,1.116098117162527,0.9883993036659855
2100,1.017210426155073,1.1446477159018311,1.0094166285775699
2200,1.0356407674606354,1.1732567280815216,1.0314633090491003
2300,1.0539827222239708,1.2018222789395936,1.0542593930840365
2400,1.0722602866114985,1.2298022792110956,1.0776417520108805
2500,1.0904685976714628,1.256956367772651,1.1015525263035995
2600,1.10829396090505,1.283298695205638,1.126027088874313
2700,1.1255527891397652,1.3089321045606666,1.151080503180122
2800,1.1422063433329597,1.3336188267000901,1.1762650637361436
2900,1.15833479135026,1.357240966192975,1.201158566027752
3000,1.1739633927412485,1.3798050525112304,1.225575074385118
3100,1.1889233050235166,1.4014356432546968,1.2495384668940055
3200,1.2031564958671528,1.4220584032505716,1.2732437376530692
3300,1.2166689606512193,1.4414315944356666,1.296453381557074
3400,1.2295278896511037,1.4594769473601352,1.3184458856135195
3500,1.2417789756142814,1.4762766984607285,1.3388811440110613
3600,1.2532803469504907,1.4920647115466579,1.3578258161558416
3700,1.2639416296058512,1.5071582450521503,1.3757230083841379
3800,1.273762862130022,1.521288872142022,1.3929627127659634
3900,1.282829952959013,1.5340706353529687,1.4088055630559977
4000,1.2913110857934813,1.5455244685699683,1.422904789708119
